date_avg,Ta (deg C),Tw (deg C),U2,C,Kd (watt hours per square meter per day),P (kPa)
3/1/2022,7.53968254,4.900793651,3.142857143,0.6,134616,87.71596698
3/2/2022,6.150793651,3.670634921,4.357142857,0.2,123617,87.3108096
3/3/2022,3.670634921,1.825396825,5.535714286,0.8,91791,87.03747955
3/4/2022,1.845238095,-1.19047619,7.142857143,0.1,295619,86.74237985
3/5/2022,1.964285714,-1.150793651,15.35714286,0,273501,87.14269953
3/6/2022,0.277777778,-2.757936508,12.11111111,0.2,264228,87.96027083
3/7/2022,1.893004115,-1.748971193,7.888888889,0.1,288057,88.17796733
3/8/2022,2.795698925,-0.071684588,11.83870968,0.7,188704,87.48356231
3/9/2022,-1.059027778,-3.506944444,10.19354839,0.6,161771,87.20695023
3/10/2022,-3.69047619,-6.865079365,6.964285714,0.1,329030,87.87077338
3/11/2022,2.678571429,-1.349206349,2.740740741,0.3,273357,87.99050645
3/12/2022,7.71043771,1.192810458,14.32352941,0.3,307369,87.08500284
3/13/2022,3.630952381,1.071428571,10.67857143,0.7,150453,87.26485145
3/14/2022,6.944444444,2.876984127,5.714285714,0.7,204730,87.67605595
3/15/2022,7.296296296,3.666666667,11.83333333,0.6,214827,87.5709166
3/16/2022,2.142857143,-1.408730159,6.666666667,0.1,340765,87.88770533
3/17/2022,2.916666667,-0.892857143,4.964285714,0.2,223728,87.61679413
3/18/2022,4.702380952,0.496031746,4.892857143,0,270822,87.3495112
3/19/2022,3.843843844,1.906906907,7.540540541,0.4,112806,86.82887008
3/20/2022,0.773809524,-2.400793651,6.535714286,0.3,314408,87.76192513
3/21/2022,4.015594542,2.290448343,2.877192982,0.9,210350,88.17446636
3/22/2022,7.901234568,5.12345679,5.166666667,0.5,332782,88.36596572
3/23/2022,10.23809524,5.416666667,7.785714286,0.1,331949,87.7849042
3/24/2022,7.738095238,2.797619048,5.333333333,0,357331,87.659124
3/25/2022,10.91269841,4.742063492,6.428571429,0,267274,87.28420225
3/26/2022,9.96031746,4.384920635,3.785714286,0,298070,86.9770083
3/27/2022,10.61507937,5.238095238,4.814814815,0.2,206234,86.40011258
3/28/2022,8.333333333,6.25,7.5,0.5,178532,86.34206018
3/29/2022,8.908730159,5,9.107142857,0.2,325321,87.06045863
3/30/2022,4.563492063,0.992063492,8.428571429,0.2,235010,87.38095625
3/31/2022,2.420634921,-1.19047619,6.888888889,0.1,362249,87.34588293
